Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2007","2007","1000 ha","2.3","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2008","2008","1000 ha","2.2","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2009","2009","1000 ha","2.1","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2010","2010","1000 ha","2","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2011","2011","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2012","2012","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2013","2013","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2014","2014","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2015","2015","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2016","2016","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2017","2017","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2019","2019","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2020","2020","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2021","2021","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2022","2022","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2023","2023","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","1990","1990","1000 ha","410","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","1991","1991","1000 ha","424","A","Official figure",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","1992","1992","1000 ha","418.2","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","1993","1993","1000 ha","412.4","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","1994","1994","1000 ha","406.6","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","1995","1995","1000 ha","400.8","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","1996","1996","1000 ha","395","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","1997","1997","1000 ha","389.2","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","1998","1998","1000 ha","383.4","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","1999","1999","1000 ha","377.6","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2000","2000","1000 ha","371.8","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2001","2001","1000 ha","366","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2002","2002","1000 ha","360.2","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2003","2003","1000 ha","354.4","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2004","2004","1000 ha","348.6","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2005","2005","1000 ha","342.8","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2006","2006","1000 ha","337","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2007","2007","1000 ha","331.2","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2008","2008","1000 ha","325.4","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2009","2009","1000 ha","319.8","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2010","2010","1000 ha","319.1","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2011","2011","1000 ha","318.4","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2012","2012","1000 ha","317.7","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2013","2013","1000 ha","317","I","Value imputed by a receiving agency",""
